"MEMBER_NAME","MEMBER_ID","BILL_NUMBER","PATRON_TYPE"
"Jackie H. Glass               ","H0349","HB1078","1999" - Co-Patron
"Marcia S. ""Cia"" Price         ","H0284","HB1078","1999" - Co-Patron
"Michelle Lopes Maldonado      ","H0340","HB1078","1999" - Co-Patron
"Rodney T. Willett             ","H0327","HB1078","1999" - Co-Patron
"Christopher T. Head           ","S0122","HB1078","2999" - Co-Patron
"Richard C. ""Rip"" Sullivan, Jr.","H0269","HB109","1" - Chief Patron
"Delores Oates                 ","H0377","HB1091","1" - Chief Patron
"Delores Oates                 ","H0377","HB1092","1" - Chief Patron
"Delores Oates                 ","H0377","HB1093","1" - Chief Patron
"Joshua E. Thomas              ","H0382","HB1096","1" - Chief Patron
"Bill Wiley                    ","H0329","HB1101","1" - Chief Patron
"Betsy B. Carr                 ","H0212","HB1121","1" - Chief Patron
"Elizabeth B. Bennett-Parker   ","H0334","HB1121","1999" - Co-Patron
"Betsy B. Carr                 ","H0212","HB1122","1" - Chief Patron
"Betsy B. Carr                 ","H0212","HB1124","1" - Chief Patron
"Elizabeth B. Bennett-Parker   ","H0334","HB1124","1999" - Co-Patron
"Nadarius E. Clark             ","H0336","HB1124","1999" - Co-Patron
"Delores L. McQuinn            ","H0207","HB1129","1" - Chief Patron
"Richard C. ""Rip"" Sullivan, Jr.","H0269","HB116","1" - Chief Patron
"Rodney T. Willett             ","H0327","HB1185","1" - Chief Patron
"Phillip A. Scott              ","H0342","HB1192","1" - Chief Patron
"Eric R. Zehr                  ","H0383","HB1192","1999" - Co-Patron
"Patrick A. Hope               ","H0219","HB1225","1" - Chief Patron
"Sam Rasoul                    ","H0266","HB1226","1" - Chief Patron
"Alfonso H. Lopez              ","H0239","HB1226","1041" - Chief Co-Patron
"Destiny LeVere Bolling        ","H0372","HB1226","1999" - Co-Patron
"Michael B. Feggans            ","H0360","HB1226","1999" - Co-Patron
"Patrick A. Hope               ","H0219","HB1226","1999" - Co-Patron
"Paul E. Krizek                ","H0281","HB1226","1999" - Co-Patron
"Rozia A. Henson, Jr.          ","H0365","HB1226","1999" - Co-Patron
"Jeremy S. McPike              ","S0098","HB1226","2999" - Co-Patron
"Geary Higgins                 ","H0367","HB1233","1" - Chief Patron
"Eric R. Zehr                  ","H0383","HB1235","1" - Chief Patron
"W. Chad Green                 ","H0363","HB1235","1999" - Co-Patron
"Rodney T. Willett             ","H0327","HB1239","1" - Chief Patron
"Adele Y. McClure              ","H0375","HB1253","1" - Chief Patron
"Elizabeth B. Bennett-Parker   ","H0334","HB1253","1999" - Co-Patron
"Holly M. Seibold              ","H0351","HB1253","1999" - Co-Patron
"Nadarius E. Clark             ","H0336","HB1253","1999" - Co-Patron
"Rozia A. Henson, Jr.          ","H0365","HB1253","1999" - Co-Patron
"Sam Rasoul                    ","H0266","HB1253","1999" - Co-Patron
"Irene Shin                    ","H0344","HB1259","1" - Chief Patron
"Irene Shin                    ","H0344","HB1263","1" - Chief Patron
"Phil M. Hernandez             ","H0366","HB1263","1041" - Chief Co-Patron
"Elizabeth B. Bennett-Parker   ","H0334","HB1263","1999" - Co-Patron
"Katrina Callsen               ","H0354","HB1263","1999" - Co-Patron
"Paul E. Krizek                ","H0281","HB1273","1" - Chief Patron
"Dan I. Helmer                 ","H0317","HB1273","1041" - Chief Co-Patron
"Adele Y. McClure              ","H0375","HB1273","1999" - Co-Patron
"Karrie K. Delaney             ","H0294","HB1273","1999" - Co-Patron
"Marty Martinez                ","H0374","HB1273","1999" - Co-Patron
"Nadarius E. Clark             ","H0336","HB1273","1999" - Co-Patron
"Patrick A. Hope               ","H0219","HB1273","1999" - Co-Patron
"Rozia A. Henson, Jr.          ","H0365","HB1273","1999" - Co-Patron
"Sam Rasoul                    ","H0266","HB1273","1999" - Co-Patron
"Shelly A. Simonds             ","H0323","HB1273","1999" - Co-Patron
"Phil M. Hernandez             ","H0366","HB1280","1" - Chief Patron
"Dan I. Helmer                 ","H0317","HB1280","1041" - Chief Co-Patron
"Hyland F. ""Buddy"" Fowler, Jr. ","H0259","HB1281","1" - Chief Patron
"Alex Q. Askew                 ","H0311","HB1284","1" - Chief Patron
"Adele Y. McClure              ","H0375","HB1284","1999" - Co-Patron
"Alfonso H. Lopez              ","H0239","HB1284","1999" - Co-Patron
"Amy J. Laufer                 ","H0371","HB1284","1999" - Co-Patron
"Atoosa R. Reaser              ","H0380","HB1284","1999" - Co-Patron
"Bonita G. Anthony             ","H0353","HB1284","1999" - Co-Patron
"C.E. Cliff Hayes, Jr.         ","H0285","HB1284","1999" - Co-Patron
"Candi Mundon King             ","H0330","HB1284","1999" - Co-Patron
"Charniele L. Herring          ","H0208","HB1284","1999" - Co-Patron
"Dan I. Helmer                 ","H0317","HB1284","1999" - Co-Patron
"David A. Reid                 ","H0301","HB1284","1999" - Co-Patron
"Debra D. Gardner              ","H0361","HB1284","1999" - Co-Patron
"Delores L. McQuinn            ","H0207","HB1284","1999" - Co-Patron
"Destiny LeVere Bolling        ","H0372","HB1284","1999" - Co-Patron
"Elizabeth B. Bennett-Parker   ","H0334","HB1284","1999" - Co-Patron
"Holly M. Seibold              ","H0351","HB1284","1999" - Co-Patron
"Irene Shin                    ","H0344","HB1284","1999" - Co-Patron
"Jackie H. Glass               ","H0349","HB1284","1999" - Co-Patron
"Jeion A. Ward                 ","H0173","HB1284","1999" - Co-Patron
"Joshua E. Thomas              ","H0382","HB1284","1999" - Co-Patron
"Joshua G. Cole                ","H0314","HB1284","1999" - Co-Patron
"Karen Keys-Gamarra            ","H0370","HB1284","1999" - Co-Patron
"Karrie K. Delaney             ","H0294","HB1284","1999" - Co-Patron
"Kathy K.L. Tran               ","H0305","HB1284","1999" - Co-Patron
"Katrina Callsen               ","H0354","HB1284","1999" - Co-Patron
"Laura Jane Cohen              ","H0355","HB1284","1999" - Co-Patron
"Mark D. Sickles               ","H0172","HB1284","1999" - Co-Patron
"Marty Martinez                ","H0374","HB1284","1999" - Co-Patron
"Michael B. Feggans            ","H0360","HB1284","1999" - Co-Patron
"Michael J. Jones              ","H0368","HB1284","1999" - Co-Patron
"Nadarius E. Clark             ","H0336","HB1284","1999" - Co-Patron
"Patrick A. Hope               ","H0219","HB1284","1999" - Co-Patron
"Paul E. Krizek                ","H0281","HB1284","1999" - Co-Patron
"Phil M. Hernandez             ","H0366","HB1284","1999" - Co-Patron
"Rae Cousins                   ","H0356","HB1284","1999" - Co-Patron
"Richard C. ""Rip"" Sullivan, Jr.","H0269","HB1284","1999" - Co-Patron
"Rodney T. Willett             ","H0327","HB1284","1999" - Co-Patron
"Rozia A. Henson, Jr.          ","H0365","HB1284","1999" - Co-Patron
"Shelly A. Simonds             ","H0323","HB1284","1999" - Co-Patron
"Vivian E. Watts               ","H0108","HB1284","1999" - Co-Patron
"Michael J. Webert             ","H0247","HB1288","1" - Chief Patron
"Alex Q. Askew                 ","H0311","HB1292","1" - Chief Patron
"Jeion A. Ward                 ","H0173","HB1292","1999" - Co-Patron
"Joshua E. Thomas              ","H0382","HB1292","1999" - Co-Patron
"Patrick A. Hope               ","H0219","HB1292","1999" - Co-Patron
"Paul E. Krizek                ","H0281","HB1292","1999" - Co-Patron
"Rozia A. Henson, Jr.          ","H0365","HB1292","1999" - Co-Patron
"Angelia Williams Graves       ","S0130","HB1292","2999" - Co-Patron
"Rodney T. Willett             ","H0327","HB1293","1" - Chief Patron
"Ellen H. Campbell             ","H0350","HB1295","1" - Chief Patron
"Chris S. Runion               ","H0321","HB1295","1999" - Co-Patron
"Michael J. Webert             ","H0247","HB1295","1999" - Co-Patron
"Terry G. Kilgore              ","H0056","HB1295","1999" - Co-Patron
"Kelly K. Convirs-Fowler       ","H0295","HB130","1" - Chief Patron
"C.E. Cliff Hayes, Jr.         ","H0285","HB1305","1" - Chief Patron
"Atoosa R. Reaser              ","H0380","HB1307","1" - Chief Patron
"Nadarius E. Clark             ","H0336","HB1310","1" - Chief Patron
"Rozia A. Henson, Jr.          ","H0365","HB1310","1999" - Co-Patron
"Nadarius E. Clark             ","H0336","HB1311","1" - Chief Patron
"Bonita G. Anthony             ","H0353","HB1311","1041" - Chief Co-Patron
"Katrina Callsen               ","H0354","HB1311","1999" - Co-Patron
"Kelly K. Convirs-Fowler       ","H0295","HB1311","1999" - Co-Patron
"Angelia Williams Graves       ","S0130","HB1311","2999" - Co-Patron
"Jennifer B. Boysko            ","S0106","HB1311","2999" - Co-Patron
"Joshua G. Cole                ","H0314","HB1314","1" - Chief Patron
"Tara A. Durant                ","S0120","HB1314","2999" - Co-Patron
"Jeion A. Ward                 ","H0173","HB1316","1" - Chief Patron
"Adele Y. McClure              ","H0375","HB1320","1" - Chief Patron
"Katrina Callsen               ","H0354","HB1320","1999" - Co-Patron
"Nadarius E. Clark             ","H0336","HB1320","1999" - Co-Patron
"Rozia A. Henson, Jr.          ","H0365","HB1320","1999" - Co-Patron
"Sam Rasoul                    ","H0266","HB1320","1999" - Co-Patron
"Shelly A. Simonds             ","H0323","HB1320","1999" - Co-Patron
"Mark D. Sickles               ","H0172","HB1322","1" - Chief Patron
"Delores L. McQuinn            ","H0207","HB1344","1" - Chief Patron
"Barbara A. Favola             ","S0086","HB1344","2999" - Co-Patron
"Destiny LeVere Bolling        ","H0372","HB1348","1" - Chief Patron
"Kathy K.L. Tran               ","H0305","HB1355","1" - Chief Patron
"Alfonso H. Lopez              ","H0239","HB1355","1041" - Chief Co-Patron
"Elizabeth B. Bennett-Parker   ","H0334","HB1355","1999" - Co-Patron
"Jackie H. Glass               ","H0349","HB1355","1999" - Co-Patron
"Marcia S. ""Cia"" Price         ","H0284","HB1355","1999" - Co-Patron
"Paul E. Krizek                ","H0281","HB1355","1999" - Co-Patron
"Israel D. O'Quinn             ","H0242","HB1363","1" - Chief Patron
"Marcus B. Simon               ","H0264","HB1371","1" - Chief Patron
"Jason S. Ballard              ","H0333","HB1373","1" - Chief Patron
"Chris Obenshain               ","H0378","HB1373","1999" - Co-Patron
"Jason S. Ballard              ","H0333","HB1374","1" - Chief Patron
"Debra D. Gardner              ","H0361","HB1375","1" - Chief Patron
"Atoosa R. Reaser              ","H0380","HB1375","1999" - Co-Patron
"Bonita G. Anthony             ","H0353","HB1375","1999" - Co-Patron
"Delores L. McQuinn            ","H0207","HB1375","1999" - Co-Patron
"Elizabeth B. Bennett-Parker   ","H0334","HB1375","1999" - Co-Patron
"Holly M. Seibold              ","H0351","HB1375","1999" - Co-Patron
"Jackie H. Glass               ","H0349","HB1375","1999" - Co-Patron
"Joshua E. Thomas              ","H0382","HB1375","1999" - Co-Patron
"Joshua G. Cole                ","H0314","HB1375","1999" - Co-Patron
"Katrina Callsen               ","H0354","HB1375","1999" - Co-Patron
"Nadarius E. Clark             ","H0336","HB1375","1999" - Co-Patron
"Paul E. Krizek                ","H0281","HB1375","1999" - Co-Patron
"Rozia A. Henson, Jr.          ","H0365","HB1375","1999" - Co-Patron
"Sam Rasoul                    ","H0266","HB1375","1999" - Co-Patron
"Shelly A. Simonds             ","H0323","HB1375","1999" - Co-Patron
"Paul V. Milde                 ","H0376","HB1385","1" - Chief Patron
"James A. ""Jay"" Leftwich       ","H0262","HB1387","1" - Chief Patron
"Joshua G. Cole                ","H0314","HB1390","1" - Chief Patron
"Michael J. Jones              ","H0368","HB1393","1" - Chief Patron
"Amy J. Laufer                 ","H0371","HB1403","1" - Chief Patron
"Rae Cousins                   ","H0356","HB1405","1" - Chief Patron
"Wendell S. Walker             ","H0325","HB1405","1041" - Chief Co-Patron
"Holly M. Seibold              ","H0351","HB1405","1999" - Co-Patron
"Nadarius E. Clark             ","H0336","HB1405","1999" - Co-Patron
"Rozia A. Henson, Jr.          ","H0365","HB1405","1999" - Co-Patron
"Shelly A. Simonds             ","H0323","HB1405","1999" - Co-Patron
"David A. Reid                 ","H0301","HB141","1" - Chief Patron
"Michael B. Feggans            ","H0360","HB141","1041" - Chief Co-Patron
"Elizabeth B. Bennett-Parker   ","H0334","HB1414","1" - Chief Patron
"David A. Reid                 ","H0301","HB142","1" - Chief Patron
"Patrick A. Hope               ","H0219","HB1424","1" - Chief Patron
"M. Keith Hodges               ","H0238","HB1434","1" - Chief Patron
"Paul E. Krizek                ","H0281","HB1434","1999" - Co-Patron
"Bill Wiley                    ","H0329","HB1438","1" - Chief Patron
"Eric Phillips                 ","H0384","HB1445","1" - Chief Patron
"Carrie E. Coyner              ","H0315","HB1446","1" - Chief Patron
"Chris S. Runion               ","H0321","HB1446","1041" - Chief Co-Patron
"Rae Cousins                   ","H0356","HB1446","1999" - Co-Patron
"Amy J. Laufer                 ","H0371","HB1463","1" - Chief Patron
"Karen Keys-Gamarra            ","H0370","HB1470","1" - Chief Patron
"Marcia S. ""Cia"" Price         ","H0284","HB1479","1" - Chief Patron
"Nicholas J. Freitas           ","H0279","HB1481","1" - Chief Patron
"Atoosa R. Reaser              ","H0380","HB1490","1" - Chief Patron
"Adele Y. McClure              ","H0375","HB1490","1999" - Co-Patron
"Alex Q. Askew                 ","H0311","HB1490","1999" - Co-Patron
"Amy J. Laufer                 ","H0371","HB1490","1999" - Co-Patron
"Bonita G. Anthony             ","H0353","HB1490","1999" - Co-Patron
"David A. Reid                 ","H0301","HB1490","1999" - Co-Patron
"Destiny LeVere Bolling        ","H0372","HB1490","1999" - Co-Patron
"Holly M. Seibold              ","H0351","HB1490","1999" - Co-Patron
"Joshua G. Cole                ","H0314","HB1490","1999" - Co-Patron
"Karen Keys-Gamarra            ","H0370","HB1490","1999" - Co-Patron
"Kelly K. Convirs-Fowler       ","H0295","HB1490","1999" - Co-Patron
"Marty Martinez                ","H0374","HB1490","1999" - Co-Patron
"Michael J. Jones              ","H0368","HB1490","1999" - Co-Patron
"Nadarius E. Clark             ","H0336","HB1490","1999" - Co-Patron
"Phil M. Hernandez             ","H0366","HB1490","1999" - Co-Patron
"Rodney T. Willett             ","H0327","HB1490","1999" - Co-Patron
"Rozia A. Henson, Jr.          ","H0365","HB1490","1999" - Co-Patron
"Vivian E. Watts               ","H0108","HB1490","1999" - Co-Patron
"Rae Cousins                   ","H0356","HB1492","1" - Chief Patron
"Elizabeth B. Bennett-Parker   ","H0334","HB1492","1999" - Co-Patron
"Kelly K. Convirs-Fowler       ","H0295","HB1492","1999" - Co-Patron
"Nadarius E. Clark             ","H0336","HB1492","1999" - Co-Patron
"Rozia A. Henson, Jr.          ","H0365","HB1492","1999" - Co-Patron
"Rae Cousins                   ","H0356","HB1494","1" - Chief Patron
"Marty Martinez                ","H0374","HB1494","1999" - Co-Patron
"Nadarius E. Clark             ","H0336","HB1494","1999" - Co-Patron
"Rozia A. Henson, Jr.          ","H0365","HB1494","1999" - Co-Patron
"Sam Rasoul                    ","H0266","HB1494","1999" - Co-Patron
"Shelly A. Simonds             ","H0323","HB1494","1999" - Co-Patron
"Rae Cousins                   ","H0356","HB1495","1" - Chief Patron
"Jackie H. Glass               ","H0349","HB1495","1041" - Chief Co-Patron
"Betsy B. Carr                 ","H0212","HB1495","1999" - Co-Patron
"Marty Martinez                ","H0374","HB1495","1999" - Co-Patron
"Nadarius E. Clark             ","H0336","HB1495","1999" - Co-Patron
"Rozia A. Henson, Jr.          ","H0365","HB1495","1999" - Co-Patron
"Rodney T. Willett             ","H0327","HB1497","1" - Chief Patron
"Hillary Pugh Kent             ","H0369","HB1520","1" - Chief Patron
"Robert D. Orrock, Sr.         ","H0073","HB1520","1041" - Chief Co-Patron
"Alfonso H. Lopez              ","H0239","HB1524","1" - Chief Patron
"Candi Mundon King             ","H0330","HB1536","1" - Chief Patron
"Marcia S. ""Cia"" Price         ","H0284","HB1536","1999" - Co-Patron
"Debra D. Gardner              ","H0361","HB1537","1" - Chief Patron
"Kelly K. Convirs-Fowler       ","H0295","HB1537","1999" - Co-Patron
"Nadarius E. Clark             ","H0336","HB1537","1999" - Co-Patron
"Rozia A. Henson, Jr.          ","H0365","HB1537","1999" - Co-Patron
"Shelly A. Simonds             ","H0323","HB1537","1999" - Co-Patron
"Vivian E. Watts               ","H0108","HB1546","1" - Chief Patron
"Mark D. Sickles               ","H0172","HB1546","1041" - Chief Co-Patron
"R. Lee Ware                   ","H0124","HB1548","1" - Chief Patron
"Anne Ferrell Tata             ","H0345","HB1548","2" - Chief Co-Patron
"W. Chad Green                 ","H0363","HB1549","1" - Chief Patron
"Scott A. Wyatt                ","H0328","HB1549","2" - Chief Co-Patron
"Hyland F. ""Buddy"" Fowler, Jr. ","H0259","HB1549","3" - Co-Patron
"Thomas A. Garrett, Jr.        ","H0362","HB1549","4" - Co-Patron
"Wendell S. Walker             ","H0325","HB1549","5" - Co-Patron
"Wren M. Williams              ","H0348","HB1549","6" - Co-Patron
"Joseph P. McNamara            ","H0308","HB1550","1" - Chief Patron
"Joseph P. McNamara            ","H0308","HB1551","1" - Chief Patron
"Bill Wiley                    ","H0329","HB1552","1" - Chief Patron
"Wren M. Williams              ","H0348","HB1553","1" - Chief Patron
"Wren M. Williams              ","H0348","HB1554","1" - Chief Patron
"Wren M. Williams              ","H0348","HB1555","1" - Chief Patron
"Wren M. Williams              ","H0348","HB1556","1" - Chief Patron
"Carrie E. Coyner              ","H0315","HB1556","2" - Co-Patron
"N. Baxter Ennis               ","H0359","HB1556","3" - Co-Patron
"W. Chad Green                 ","H0363","HB1556","4" - Co-Patron
"Ian T. Lovejoy                ","H0373","HB1556","5" - Co-Patron
"Robert D. Orrock, Sr.         ","H0073","HB1556","6" - Co-Patron
"David Owen                    ","H0379","HB1556","7" - Co-Patron
"Kim A. Taylor                 ","H0346","HB1556","8" - Co-Patron
"Wendell S. Walker             ","H0325","HB1556","9" - Co-Patron
"R. Lee Ware                   ","H0124","HB1557","1" - Chief Patron
"Paul V. Milde                 ","H0376","HB1558","1" - Chief Patron
"Eric Phillips                 ","H0384","HB1558","2" - Chief Co-Patron
"Thomas A. Garrett, Jr.        ","H0362","HB1558","3" - Co-Patron
"W. Chad Green                 ","H0363","HB1558","4" - Co-Patron
"Chris Obenshain               ","H0378","HB1558","5" - Co-Patron
"Kim A. Taylor                 ","H0346","HB1558","6" - Co-Patron
"Wendell S. Walker             ","H0325","HB1558","7" - Co-Patron
"Wren M. Williams              ","H0348","HB1558","8" - Co-Patron
"Wren M. Williams              ","H0348","HB1559","1" - Chief Patron
"Joseph P. McNamara            ","H0308","HB1560","1" - Chief Patron
"Joseph P. McNamara            ","H0308","HB1561","1" - Chief Patron
"W. Chad Green                 ","H0363","HB1562","1" - Chief Patron
"Mike A. Cherry                ","H0335","HB1563","1" - Chief Patron
"Hillary Pugh Kent             ","H0369","HB1563","2" - Co-Patron
"Chris Obenshain               ","H0378","HB1563","3" - Co-Patron
"Mike A. Cherry                ","H0335","HB1564","1" - Chief Patron
"Chris Obenshain               ","H0378","HB1564","2" - Co-Patron
"W. Chad Green                 ","H0363","HB1565","1" - Chief Patron
"N. Baxter Ennis               ","H0359","HB1565","2" - Co-Patron
"Thomas A. Garrett, Jr.        ","H0362","HB1565","3" - Co-Patron
"Wendell S. Walker             ","H0325","HB1565","4" - Co-Patron
"Christopher T. Head           ","S0122","HB1565","5" - Co-Patron
"W. Chad Green                 ","H0363","HB1566","1" - Chief Patron
"Mark L. Earley, Jr.           ","H0358","HB1566","2" - Co-Patron
"Hyland F. ""Buddy"" Fowler, Jr. ","H0259","HB1566","3" - Co-Patron
"Thomas A. Garrett, Jr.        ","H0362","HB1566","4" - Co-Patron
"Delores Oates                 ","H0377","HB1566","5" - Co-Patron
"Chris Obenshain               ","H0378","HB1566","6" - Co-Patron
"Wendell S. Walker             ","H0325","HB1566","7" - Co-Patron
"Wren M. Williams              ","H0348","HB1566","8" - Co-Patron
"J.D. ""Danny"" Diggs            ","S0119","HB1566","9" - Co-Patron
"Bill Wiley                    ","H0329","HB1567","1" - Chief Patron
"Bill Wiley                    ","H0329","HB1568","1" - Chief Patron
"Bill Wiley                    ","H0329","HB1569","1" - Chief Patron
"Bill Wiley                    ","H0329","HB1570","1" - Chief Patron
"Chris S. Runion               ","H0321","HB1571","1" - Chief Patron
"R. Lee Ware                   ","H0124","HB1572","1" - Chief Patron
"W. Chad Green                 ","H0363","HB1573","1" - Chief Patron
"Mark L. Earley, Jr.           ","H0358","HB1573","2" - Co-Patron
"Hyland F. ""Buddy"" Fowler, Jr. ","H0259","HB1573","3" - Co-Patron
"Thomas A. Garrett, Jr.        ","H0362","HB1573","4" - Co-Patron
"Delores Oates                 ","H0377","HB1573","5" - Co-Patron
"David Owen                    ","H0379","HB1573","6" - Co-Patron
"Wendell S. Walker             ","H0325","HB1573","7" - Co-Patron
"J.D. ""Danny"" Diggs            ","S0119","HB1573","8" - Co-Patron
"Tammy Brankley Mulchi         ","S0131","HB1573","9" - Co-Patron
"W. Chad Green                 ","H0363","HB1574","1" - Chief Patron
"Mark L. Earley, Jr.           ","H0358","HB1574","2" - Co-Patron
"Hyland F. ""Buddy"" Fowler, Jr. ","H0259","HB1574","3" - Co-Patron
"Thomas A. Garrett, Jr.        ","H0362","HB1574","4" - Co-Patron
"Delores Oates                 ","H0377","HB1574","5" - Co-Patron
"David Owen                    ","H0379","HB1574","6" - Co-Patron
"Wendell S. Walker             ","H0325","HB1574","7" - Co-Patron
"J.D. ""Danny"" Diggs            ","S0119","HB1574","8" - Co-Patron
"Tammy Brankley Mulchi         ","S0131","HB1574","9" - Co-Patron
"Mike A. Cherry                ","H0335","HB1575","1" - Chief Patron
"Mike A. Cherry                ","H0335","HB1576","1" - Chief Patron
"Wren M. Williams              ","H0348","HB1577","1" - Chief Patron
"Eric Phillips                 ","H0384","HB1577","2" - Chief Co-Patron
"Ellen H. Campbell             ","H0350","HB1578","1" - Chief Patron
"James W. Morefield            ","H0224","HB1579","1" - Chief Patron
"Adele Y. McClure              ","H0375","HB158","1" - Chief Patron
"Alfonso H. Lopez              ","H0239","HB158","1041" - Chief Co-Patron
"Michael J. Jones              ","H0368","HB158","1041" - Chief Co-Patron
"Alex Q. Askew                 ","H0311","HB158","1999" - Co-Patron
"Amy J. Laufer                 ","H0371","HB158","1999" - Co-Patron
"Atoosa R. Reaser              ","H0380","HB158","1999" - Co-Patron
"Bonita G. Anthony             ","H0353","HB158","1999" - Co-Patron
"Candi Mundon King             ","H0330","HB158","1999" - Co-Patron
"Elizabeth B. Bennett-Parker   ","H0334","HB158","1999" - Co-Patron
"Holly M. Seibold              ","H0351","HB158","1999" - Co-Patron
"Irene Shin                    ","H0344","HB158","1999" - Co-Patron
"Karen Keys-Gamarra            ","H0370","HB158","1999" - Co-Patron
"Kathy K.L. Tran               ","H0305","HB158","1999" - Co-Patron
"Kelly K. Convirs-Fowler       ","H0295","HB158","1999" - Co-Patron
"Laura Jane Cohen              ","H0355","HB158","1999" - Co-Patron
"Marcus B. Simon               ","H0264","HB158","1999" - Co-Patron
"Marty Martinez                ","H0374","HB158","1999" - Co-Patron
"Michelle Lopes Maldonado      ","H0340","HB158","1999" - Co-Patron
"Nadarius E. Clark             ","H0336","HB158","1999" - Co-Patron
"Patrick A. Hope               ","H0219","HB158","1999" - Co-Patron
"Rae Cousins                   ","H0356","HB158","1999" - Co-Patron
"Rodney T. Willett             ","H0327","HB158","1999" - Co-Patron
"Rozia A. Henson, Jr.          ","H0365","HB158","1999" - Co-Patron
"Shelly A. Simonds             ","H0323","HB158","1999" - Co-Patron
"Barbara A. Favola             ","S0086","HB158","2999" - Co-Patron
"David W. Marsden              ","S0080","HB158","2999" - Co-Patron
"Lamont Bagby                  ","S0114","HB158","2999" - Co-Patron
"Saddam Azlan Salim            ","S0127","HB158","2999" - Co-Patron
"Jason S. Ballard              ","H0333","HB1580","1" - Chief Patron
"Jason S. Ballard              ","H0333","HB1581","1" - Chief Patron
"H. Otto Wachsmann, Jr.        ","H0347","HB1582","1" - Chief Patron
"Jason S. Ballard              ","H0333","HB1583","1" - Chief Patron
"Jonathan ""Jed"" Arnold         ","H0352","HB1583","2" - Co-Patron
"Terry L. Austin               ","H0253","HB1583","3" - Co-Patron
"Amanda E. Batten              ","H0313","HB1583","4" - Co-Patron
"Ellen H. Campbell             ","H0350","HB1583","5" - Co-Patron
"Mike A. Cherry                ","H0335","HB1583","6" - Co-Patron
"A.C. Cordoza                  ","H0337","HB1583","7" - Co-Patron
"Will Davis                    ","H0357","HB1583","8" - Co-Patron
"Mark L. Earley, Jr.           ","H0358","HB1583","9" - Co-Patron
"N. Baxter Ennis               ","H0359","HB1583","10" - Co-Patron
"Hyland F. ""Buddy"" Fowler, Jr. ","H0259","HB1583","11" - Co-Patron
"Thomas A. Garrett, Jr.        ","H0362","HB1583","12" - Co-Patron
"W. Chad Green                 ","H0363","HB1583","13" - Co-Patron
"Geary Higgins                 ","H0367","HB1583","14" - Co-Patron
"M. Keith Hodges               ","H0238","HB1583","15" - Co-Patron
"Hillary Pugh Kent             ","H0369","HB1583","16" - Co-Patron
"Terry G. Kilgore              ","H0056","HB1583","17" - Co-Patron
"James A. ""Jay"" Leftwich       ","H0262","HB1583","18" - Co-Patron
"Ian T. Lovejoy                ","H0373","HB1583","19" - Co-Patron
"Paul V. Milde                 ","H0376","HB1583","20" - Co-Patron
"James W. Morefield            ","H0224","HB1583","21" - Co-Patron
