"CHAMBER","COMMITTEE_NUMBER","SUBCOMMITTEE_NUMBER","MEMBER_NUMBER"
"H","H08","003","H0357"
"H","H08","003","H0219"
"H","H08","003","H0387"
"H","H08","003","H0056"
"H","H08","003","H0348"
"H","H08","004","H0219"
"H","H08","004","H0108"
"H","H08","004","H0264"
"H","H08","004","H0340"
"H","H08","004","H0354"
"H","H08","004","H0401"
"H","H08","004","H0398"
"H","H09","001","H0403"
"H","H09","001","H0323"
"H","H09","001","H0311"
"H","H09","001","H0356"
"H","H09","001","H0372"
"H","H09","001","H0335"
"H","H09","001","H0386"
"H","H09","001","H0391"
"H","H09","001","H0345"
"H","H09","001","H0266"
"H","H09","001","H0369"
"H","H09","002","H0403"
"H","H09","002","H0343"
"H","H09","002","H0207"
"H","H09","002","H0336"
"H","H09","002","H0371"
"H","H09","002","H0372"
"H","H09","002","H0345"
"H","H09","002","H0342"
"H","H09","002","H0362"
"H","H09","002","H0391"
"H","H09","002","H0266"
"H","H09","003","H0295"
"H","H09","003","H0343"
"H","H09","003","H0311"
"H","H09","003","H0356"
"H","H09","003","H0297"
"H","H09","003","H0380"
"H","H09","003","H0386"
"H","H09","003","H0266"
"H","H09","003","H0383"
"H","H09","003","H0369"
"H","H09","003","H0401"
"H","H10","001","H0403"
"H","H10","001","H0366"
"H","H10","001","H0361"
"H","H10","001","H0259"
"H","H10","001","H0353"
"H","H10","001","H0308"
"H","H10","001","H0354"
"H","H10","001","H0357"
"H","H10","001","H0340"
"H","H10","001","H0399"
"H","H10","001","H0108"
"H","H10","002","H0404"
"H","H10","002","H406"
"H","H10","002","H0353"
"H","H10","002","H0325"
"H","H10","002","H0370"
"H","H10","002","H0389"
"H","H10","002","H0388"
"H","H10","002","H0391"
"H","H10","002","H0124"
"H","H10","002","H0108"
"H","H10","002","H0362"
"H","H10","003","H0404"
"H","H10","003","H0269"
"H","H10","003","H0108"
"H","H10","003","H0366"
"H","H10","003","H0353"
"H","H10","003","H0308"
"H","H10","003","H0399"
"H","H10","003","H0388"
"H","H10","003","H0321"
"H","H11","001","H0294"
"H","H11","001","H0281"
"H","H11","001","H0351"
"H","H11","001","H0314"
"H","H11","001","H0375"
"H","H11","001","H0259"
"H","H11","001","H0350"
"H","H11","001","H0354"
"H","H11","001","H0297"
"H","H11","001","H0388"
"H","H11","001","H0206"
"H","H11","002","H0264"
"H","H11","002","H0281"
"H","H11","002","H0212"
"H","H11","002","H0284"
"H","H11","002","H0253"
"H","H11","002","H0366"
"H","H11","002","H0297"
"H","H11","002","H0388"
"H","H11","002","H0393"
"H","H11","002","H0267"
"H","H11","002","H0329"
"H","H11","003","H0281"
"H","H11","003","H0227"
"H","H11","003","H0284"
"H","H11","003","H0351"
"H","H11","003","H0206"
"H","H11","003","H0224"
"H","H11","003","H0314"
"H","H11","003","H0366"
"H","H11","003","H0380"
"H","H11","003","H0354"
"H","H11","003","H0253"
"H","H11","004","H0212"
"H","H11","004","H0281"
"H","H11","004","H0264"
"H","H11","004","H0294"
"H","H11","004","H0314"
"H","H11","004","H0375"
"H","H11","004","H0267"
"H","H11","004","H0329"
"H","H11","004","H0380"
"H","H11","004","H0393"
"H","H11","004","H0259"
"H","H11","005","H0281"
"H","H11","005","H0212"
"H","H11","005","H0264"
"H","H11","005","H0314"
"H","H11","005","H0294"
"H","H11","005","H0375"
"H","H11","005","H0224"
"H","H11","005","H0350"
"H","H14","001","H0355"
"H","H14","001","H0356"
"H","H14","001","H0385"
"H","H14","001","H0340"
"H","H14","001","H0269"
"H","H14","001","H0344"
"H","H14","001","H0056"
"H","H14","001","H0242"
"H","H14","001","H0173"
"H","H14","001","H0333"
"H","H14","002","H0239"
"H","H14","002","H0295"
"H","H14","002","H0317"
"H","H14","002","H0372"
"H","H14","002","H0360"
"H","H14","002","H0321"
"H","H14","002","H0333"
"H","H14","002","H0173"
"H","H14","003","H0336"
"H","H14","003","H0353"
"H","H14","003","H0397"
"H","H14","003","H0269"
"H","H14","003","H0344"
"H","H14","003","H0360"
"H","H14","003","H0056"
"H","H14","003","H0348"
"H","H14","003","H0231"
"H","H14","003","H0173"
"H","H14","004","H0353"
"H","H14","004","H0239"
"H","H14","004","H0295"
"H","H14","004","H0317"
"H","H14","004","H0372"
"H","H14","004","H0056"
"H","H14","004","H0242"
"H","H14","004","H0173"
"H","H15","001","H0361"
"H","H15","001","H0383"
"H","H15","001","H406"
"H","H15","001","H0336"
"H","H15","001","H0239"
"H","H15","001","H0317"
"H","H15","001","H0375"
"H","H15","001","H0360"
"H","H15","001","H0231"
"H","H15","001","H0264"
"H","H15","001","H0377"
"H","H15","002","H0386"
"H","H15","002","H0387"
"H","H15","002","H0394"
"H","H15","002","H0266"
"H","H15","002","H0351"
"H","H15","002","H0356"
"H","H15","002","H0247"
"H","H15","002","H0264"
"H","H15","003","H0264"
"H","H15","003","H0317"
"H","H15","003","H0375"
"H","H15","003","H0382"
"H","H15","003","H0231"
"H","H18","001","H0403"
"H","H18","001","H0349"
"H","H18","001","H0295"
"H","H18","001","H0353"
"H","H18","001","H0365"
"H","H18","001","H0267"
"H","H18","001","H0387"
"H","H18","001","H0284"
"H","H18","001","H0335"
"H","H18","002","H0314"
"H","H18","002","H0281"
"H","H18","002","H0353"
"H","H18","002","H0385"
"H","H18","002","H0262"
"H","H18","002","H0395"
"H","H18","002","H0388"
"H","H18","002","H0242"
"H","H18","002","H0284"
"H","H18","003","H0365"
"H","H18","003","H0314"
"H","H18","003","H0372"
"H","H18","003","H0385"
"H","H18","003","H0387"
"H","H18","003","H0342"
"H","H18","003","H0347"
"H","H18","003","H0284"
"H","H18","003","H0354"
"H","H18","004","H0403"
"H","H18","004","H0295"
"H","H18","004","H0349"
"H","H18","004","H0301"
"H","H18","004","H0372"
"H","H18","004","H0242"
"H","H18","004","H0384"
"H","H18","004","H0284"
"H","H18","004","H0354"
"H","H19","001","H0297"
"H","H19","001","H0399"
"H","H19","001","H0343"
"H","H19","001","H0207"
"H","H19","001","H0375"
"H","H19","001","H0353"
"H","H19","001","H0360"
"H","H19","001","H0253"
"H","H19","001","H0329"
"H","H19","001","H0242"
"H","H19","001","H0294"
"H","H19","002","H0382"
"H","H19","002","H0396"
"H","H19","002","H0212"
"H","H19","002","H0108"
"H","H19","002","H0301"
"H","H19","002","H0349"
"H","H19","002","H0353"
"H","H19","002","H0253"
"H","H19","002","H0328"
"H","H19","002","H0294"
"H","H19","002","H0333"
"H","H19","003","H0297"
"H","H19","003","H0396"
"H","H19","003","H0349"
"H","H19","003","H0212"
"H","H19","003","H0343"
"H","H19","003","H0375"
"H","H19","003","H0360"
"H","H19","003","H0329"
"H","H19","003","H0242"
"H","H19","003","H0328"
"H","H19","003","H0294"
"H","H19","004","H0382"
"H","H19","004","H0384"
"H","H19","004","H0396"
"H","H19","004","H0399"
"H","H19","004","H0301"
"H","H19","004","H0173"
"H","H19","004","H0207"
"H","H19","004","H0353"
"H","H19","004","H0206"
"H","H19","004","H0333"
"H","H19","004","H0294"
"H","H20","001","H0285"
"H","H20","001","H0317"
"H","H20","001","H0269"
"H","H20","001","H0305"
"H","H20","001","H0056"
"H","H20","001","H0322"
"H","H20","003","H0208"
"H","H20","003","H0322"
"H","H20","003","H0108"
"H","H20","003","H0247"
"H","H20","003","H0264"
"H","H20","003","H0269"
"H","H20","004","H0219"
"H","H20","004","H0322"
"H","H20","004","H0208"
"H","H20","004","H0264"
"H","H20","004","H0305"
"H","H20","004","H0317"
"H","H20","004","H0056"
"H","H20","004","H0350"
"H","H20","005","H0219"
"H","H20","005","H0317"
"H","H20","005","H0212"
"H","H20","005","H0227"
"H","H20","005","H0253"
"H","H20","005","H0322"
"H","H20","005","H0242"
"H","H21","001","H0362"
"H","H21","001","H0405"
"H","H21","001","H0349"
"H","H21","001","H0239"
"H","H21","001","H0344"
"H","H21","001","H0351"
"H","H21","001","H0340"
"H","H21","001","H0393"
"H","H21","001","H0347"
"H","H21","001","H0285"
"H","H21","001","H0398"
"H","H21","002","H0402"
"H","H21","002","H0285"
"H","H21","002","H0351"
"H","H21","002","H0365"
"H","H21","002","H0370"
"H","H21","002","H0374"
"H","H21","002","H0308"
"H","H21","002","H0391"
"H","H21","002","H0385"
"H","H21","002","H0377"
"H","H21","002","H0394"
"H","H24","001","H0405"
"H","H24","001","H0219"
"H","H24","001","H0284"
"H","H24","001","H0327"
"H","H24","001","H0208"
"H","H24","001","H0344"
"H","H24","001","H0238"
"H","H24","001","H0266"
"H","H24","001","H0347"
"H","H24","001","H0392"
"H","H24","001","H0325"
"H","H24","002","H0348"
"H","H24","002","H0405"
"H","H24","002","H0284"
"H","H24","002","H0327"
"H","H24","002","H0285"
"H","H24","002","H0305"
"H","H24","002","H0314"
"H","H24","002","H0238"
"H","H24","002","H0335"
"H","H24","002","H0392"
"H","H24","002","H0389"
"H","H24","003","H0327"
"H","H24","003","H0208"
"H","H24","003","H0314"
"H","H24","003","H0365"
"H","H24","003","H0361"
"H","H24","003","H0266"
"H","H24","003","H0342"
"H","H24","003","H0355"
"H","H24","003","H0389"
"H","H24","003","H0335"
"H","H24","004","H0305"
"H","H24","004","H0327"
"H","H24","004","H0344"
"H","H24","004","H0365"
"H","H24","004","H0361"
"H","H24","004","H0325"
"H","H24","004","H0355"
"H","H24","004","H0389"
"H","H24","004","H0390"
"S","S01","002","S0124"
"S","S01","002","S0101"
"S","S01","002","S0127"
"S","S01","003","S0125"
"S","S01","003","S0112"
"S","S01","003","S0130"
"S","S01","003","S0121"
"S","S01","003","S0133"
"S","S01","104","S0126"
"S","S01","104","S0078"
"S","S01","104","S0082"
"S","S01","104","S0134"
"S","S01","104","S0130"
"S","S04","001","S0129"
"S","S04","001","S0067"
"S","S04","001","S0105"
"S","S04","001","S0124"
"S","S04","001","S0118"
"S","S04","002","S0125"
"S","S04","002","S0101"
"S","S04","002","S0114"
"S","S04","002","S0115"
"S","S04","002","S0120"
"S","S04","003","S0067"
"S","S04","003","S0111"
"S","S04","003","S0122"
"S","S04","003","S0115"
"S","S04","003","S0129"
"S","S04","004","S0106"
"S","S04","004","S0111"
"S","S04","004","S0114"
"S","S04","004","S0122"
"S","S04","004","S0124"
"S","S05","001","S0062"
"S","S05","001","S0088"
"S","S05","001","S0086"
"S","S05","001","S0106"
"S","S05","001","S0111"
"S","S05","002","S0019"
"S","S05","002","S0080"
"S","S05","002","S0069"
"S","S05","002","S0111"
"S","S05","003","S0067"
"S","S05","003","S0019"
"S","S05","003","S0068"
"S","S05","003","S0078"
"S","S05","004","S0100"
"S","S05","004","S0080"
"S","S05","004","S0098"
"S","S05","004","S0068"
"S","S05","005","S0080"
"S","S05","005","S0086"
"S","S05","005","S0078"
"S","S05","005","S0088"
"S","S05","005","S0100"
"S","S05","006","S0098"
"S","S05","006","S0062"
"S","S05","006","S0067"
"S","S05","006","S0069"
"S","S05","006","S0068"
"S","S05","006","S0106"
"S","S05","010","S0019"
"S","S05","010","S0062"
"S","S05","010","S0067"
"S","S05","010","S0069"
"S","S09","001","S0113"
"S","S09","001","S0088"
"S","S09","001","S0096"
"S","S09","001","S0116"
"S","S09","001","S0130"
"S","S09","001","S0125"
"S","S09","001","S0127"
"S","S09","003","S0100"
"S","S09","003","S0113"
"S","S09","003","S0129"
"S","S09","003","S0069"
"S","S09","003","S0088"
"S","S12","001","S0098"
"S","S12","001","S0088"
"S","S12","001","S0111"
"S","S12","001","S0122"
"S","S12","001","S0117"
"S","S12","001","S0115"
"S","S12","001","S0126"
"S","S12","002","S0067"
"S","S12","002","S0116"
"S","S12","002","S0129"
"S","S12","002","S0121"
"S","S12","002","S0130"
